Player,Pos,Team,Games,Goals,Assists,Points
Tyler Myers,LD,PIT,65,4,16,20
Nicklas Backstrom,C/RW,OTT,65,14,13,27
Tom Wilson,LD,WAS,80,7,9,16
Sam Steel,LD,SEA,78,2,19,21
Christian Fischer,LW,CAR,49,11,16,27
Tomas Nosek,LW,BUF,71,8,20,28
Christopher Tanev,RW,COL,80,10,16,26
Michael McLeod,LW,NSH,75,14,11,25
Pat Maroon,C,LAK,71,9,16,25
Nicolas Aube-Kubel,RW,WAS,79,13,13,26
Zach Whitecloud,LW,PIT,69,11,15,26
Josh Mahura,C/LW,PIT,65,11,16,27
Trent Frederic,LD,MON,74,4,15,19
Oskar Sundqvist,LD,MON,62,7,10,17
Matt Roy,LW,FLA,77,10,16,26
Cody Glass,LD,EDM,71,4,15,19
Morgan Geekie,LW,CHI,54,11,16,27
Mario Ferraro,RW,CBJ,64,11,16,27
Klim Kostin,C/LW,MON,67,11,16,27
Alex Barre-Boulet,LD,MIN,69,4,14,18
Justin Holl,RW,WAS,67,8,20,28
Michael Amadio,RD,DAL,74,7,24,31
Nic Dowd,C,EDM,73,10,17,27
Erik Gustafsson,RD,DET,70,2,18,20
Brenden Dillon,LD,DAL,51,5,13,18
Sam Gagner,RD,COL,59,4,13,17
Joel Armia,LD,BUF,68,2,18,20
Andrew Peeke,RW,CBJ,72,12,15,27
Nikita Zadorov,RW,WAS,35,11,14,25
Radek Faksa,LD,VGK,73,3,16,19
Robby Fabbri,C,TOR,82,9,17,26
Quinton Byfield,LD,PIT,61,3,16,19
Mikey Anderson,RD,OTT,71,3,16,19
Jordan Spence,C,MON,60,9,18,27
Alexander Edler,LD,EDM,67,3,16,19
Calen Addison,RD,COL,60,6,11,17
Ryan McDonagh,C,FLA,56,8,18,26
Scott Mayfield,C,VGK,66,10,16,26
Adam Larsson,RW,NYR,58,12,13,25
Will Borgen,C,CGY,65,12,13,25
Ryan Merkley,C,CBJ,77,10,16,26
Anthony Cirelli,C/LW,MIN,78,9,17,26
Oskar Steen,RD,CAR,62,5,12,17
Kole Lind,RD,BOS,70,5,12,17
Jakob Pelletier,LW,DET,78,9,18,27
Tyler Johnson,LW,BOS,63,12,11,23
Colin Miller,C,WAS,69,10,13,23
Sean Walker,LD,NYR,76,3,15,18
Brandon Duhaime,C,NSH,76,6,21,27
Marcus Pettersson,LD,DET,64,3,15,18
Jamie Oleksiak,C,SJS,75,10,15,25
Keegan Kolesar,RD,MON,74,4,14,18
Nick Jensen,RD,TBL,53,4,13,17
Emil Bemstrom,C,MIN,71,8,17,25
Jack Studnicka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carl Grundstrom,RW,SJS,70,11,14,25
Nick Foligno,LD,ANA,72,3,8,11
Mattias Samuelsson,RW,WPG,67,12,11,23
Ethan Bear,RW,VGK,68,12,11,23
Erik Gudbranson,RW,TOR,74,10,14,24
Mavrik Bourque,C/RW,DET,42,14,8,22
Jacob Peterson,LD,CGY,64,2,16,18
Gustav Lindstrom,C/LW,BOS,73,8,16,24
Derek Ryan,LD,DAL,50,2,12,14
Fabian Zetterlund,RW,MON,60,11,11,22
Jake Sanderson,C/RW,DET,64,11,12,23
Pierre-Olivier Joseph,RD,CHI,68,4,13,17
Luke Schenn,LW,CGY,79,9,16,25
Nolan Patrick,RD,VGK,65,4,12,16
Max Jones,RW,TBL,62,10,13,23
Nick Bjugstad,LW,FLA,62,6,19,25
Zemgus Girgensons,C/LW,TBL,40,7,15,22
Caleb Jones,RD,CHI,62,4,10,14
Joel Kiviranta,LD,WPG,67,2,15,17
Philip Broberg,C,WAS,33,5,20,25
Brett Kulak,C,NSH,66,9,14,23
Nick Cousins,LW,CGY,45,10,11,21
Jordan Harris,LD,WPG,43,3,13,16
Dryden Hunt,LW/RW,STL,58,8,15,23
Nikita Zaitsev,C,NJD,75,6,18,24
Brian Dumoulin,C,LAK,62,10,12,22
Noel Acciari,RD,FLA,77,3,13,16
Jason Dickinson,RW,CBJ,52,11,10,21
William Carrier,LD,STL,39,4,11,15
Brayden McNabb,LD,STL,18,1,3,4
Jack Drury,RD,PHI,74,4,11,15
Tyler Motte,LW,OTT,38,5,6,11
Karson Kuhlman,RD,BUF,71,1,16,17
Jack McBain,LD,CHI,38,1,8,9
Jordan Martinook,RW,ARI,70,7,17,24
Juuso Valimaki,LD,TBL,77,2,14,16
Will Butcher,RD,OTT,56,5,9,14
Jake Walman,RW,BOS,56,10,11,21
Brendan Lemieux,LD,ARI,57,2,14,16
Jacob Middleton,C,SEA,72,8,15,23
David Savard,C,DAL,79,8,14,22
Nathan Bastian,LD,CHI,69,3,13,16
Zach Sanford,LD,VGK,66,3,12,15
Ryan Lindgren,RW,VGK,75,7,14,21
Austin Watson,C,TBL,80,10,6,16
Matt Nieto,LD,NSH,70,3,12,15
Curtis Lazar,C,EDM,75,11,9,20
Dakota Joshua,LW,ANA,63,11,8,19
Zack Kassian,RW,SEA,53,8,13,21
Brandon Carlo,RW,NJD,59,10,10,20
Jacob Bryson,LW,DAL,68,10,10,20
Dylan Coghlan,C,CHI,61,10,11,21
Sam Lafferty,C,STL,55,11,8,19
Mackenzie Entwistle,C,NYI,72,9,8,17
Jake McCabe,LD,MIN,60,2,13,15
Connor Murphy,LW/RW,MIN,80,7,14,21
Josh Manson,C,DAL,40,9,11,20
Erik Johnson,LD,COL,58,5,8,13
Luke Glendening,RD,ARI,52,2,13,15
Chris Tierney,LD,DET,61,4,10,14
Ryan Lomberg,LW,VGK,75,10,9,19
Joel Edmundson,C/LW,VGK,44,8,12,20
Casey Cizikas,RW,LAK,64,8,12,20
Sammy Blais,RD,DAL,78,6,6,12
Noah Cates,C/RW,BOS,62,8,12,20
Bobby Brink,RD,TBL,64,4,9,13
Jake Neighbours,LD,OTT,63,4,9,13
Philippe Myers,RW,OTT,66,9,9,18
Logan Stanley,C/LW,BUF,58,9,10,19
Gabriel Vilardi,LD,BOS,48,1,14,15
Riley Sheahan,RD,OTT,75,2,12,14
Zac Jones,LW,NSH,76,10,8,18
Jaret Anderson-Dolan,LD,NJD,72,2,12,14
Cam Dineen,LD,NJD,66,5,7,12
Kevin Rooney,C,CAR,62,8,11,19
Ian Mitchell,LW,BOS,71,8,12,20
Riley Stillman,LD,WPG,55,3,10,13
Radko Gudas,LD,VAN,69,3,10,13
Dmitry Kulikov,C/LW,VAN,72,7,12,19
Miles Wood,RW,OTT,31,5,5,10
Logan Brown,RW,NJD,63,9,9,18
Pierre-Edouard Bellemare,LD,FLA,39,3,10,13
Ian Cole,LD,FLA,65,3,10,13
Daniil Miromanov,RW,ANA,45,7,7,14
Alexei Protas,RD,WAS,60,1,13,14
Martin Fehervary,LW/RW,VAN,65,8,10,18
Dylan Demelo,C,VAN,65,8,10,18
Ville Heinola,RD,PIT,61,1,13,14
Niko Mikkola,LW,FLA,53,6,13,19
Dominic Toninato,LD,BOS,68,1,13,14
Connor Dewar,LD,WAS,44,2,11,13
Conor Timmins,LW,LAK,63,7,11,18
Jakub Zboril,C/RW,LAK,42,9,8,17
