NAME,POS,GP,G,A,PTS
Kristian Reichel,C/RW,66,6,8,13
Jansen Harkins,LW/RW,70,6,7,13
Philippe Myers,D,68,3,11,13
William Borgen,D,63,3,10,13
Ryan Reaves,RW,76,5,8,13
Wayne Simmonds,LW/RW,76,5,8,13
Dominic Toninato,C/LW,68,6,7,13
Markus Nutivaara,D,66,2,11,13
Olli Maatta,D,76,2,11,13
Oskar Steen,C/RW,52,5,8,13
Derek Forbort,D,75,3,10,13
Erik Gudbranson,D,77,4,9,13
Juuso Valimaki,D,59,2,10,13
Gustav Lindstrom,D,64,1,11,13
Drew O'Connor,LW,54,6,7,13
Mark Pysyk,D,60,4,8,13
Darren Helm,C/LW,77,6,7,12
Max Willman,LW,65,7,6,12
Ben Hutton,D,74,3,9,12
Dylan Gambrell,C/RW,75,5,7,12
Ryan Carpenter,C/RW,76,4,8,12
Cal Foote,D,71,3,10,12
Connor Dewar,C/LW,68,5,7,12
Dylan Coghlan,D,64,3,9,12
Brendan Smith,D,73,5,7,12
Jacob Bryson,D,72,2,10,12
Marian Studenic,LW/RW,60,5,6,12
Klim Kostin,LW/RW,56,5,7,12
Jack Studnicka,C,55,4,8,12
Urho Vaakanainen,D,56,2,10,12
Mikhail Maltsev,C/LW,58,6,5,12
Joel Kiviranta,LW/RW,64,5,7,12
Simon Benoit,D,59,4,7,12
Radim Simek,D,68,3,8,11
Tobias Bjornfot,D,67,1,10,11
Calvin de Haan,D,73,3,9,11
Julien Gauthier,RW,65,3,8,11
Matt Martin,LW,78,6,6,11
Ilya Lyubushkin,D,76,2,9,11
Riley Stillman,D,65,2,9,11
Max Jones,LW,64,6,5,11
Boris Katchouk,LW,72,5,6,11
Connor Clifton,D,71,2,8,11
Chad Ruhwedel,D,70,3,8,11
Patrik Nemeth,D,77,2,8,11
Nicolas Meloche,D,58,2,8,10
Jeffrey Viel,LW/RW,60,5,5,10
Jayson Megna,C/RW,54,3,7,10
Zack MacEwen,RW,70,5,5,10
Joel Hanley,D,64,1,8,9
Tucker Poolman,D,70,2,7,9
Jani Hakanpaa,D,74,3,6,9
Zach Bogosian,D,58,2,7,9
Jeremy Lauzon,D,70,2,7,9
Jalen Chatfield,D,54,1,7,9
Robert Bortuzzo,D,74,2,7,8
Mark Borowiecki,D,69,2,6,8
Libor Hajek,D,63,2,6,8
Josh Brown,D,55,1,5,6
