Player,Pos,Team,Games,Goals,Assists,Points
Conor Timmins,LW,LAK,63,7,11,18
Trevor Lewis,LW,CAR,62,7,11,18
Ben Hutton,RW,SEA,60,5,13,18
Derek Forbort,C/LW,ARI,72,5,13,18
Oskar Sundqvist,LD,MON,62,7,10,17
Sam Gagner,RD,COL,59,4,13,17
Calen Addison,RD,COL,60,6,11,17
Oskar Steen,RD,CAR,62,5,12,17
Kole Lind,RD,BOS,70,5,12,17
Nick Jensen,RD,TBL,53,4,13,17
Pierre-Olivier Joseph,RD,CHI,68,4,13,17
Joel Kiviranta,LD,WPG,67,2,15,17
Karson Kuhlman,RD,BUF,71,1,16,17
Mackenzie Entwistle,C,NYI,72,9,8,17
Jakub Zboril,C/RW,LAK,42,9,8,17
Jon Merrill,LW,STL,45,8,9,17
Michael McCarron,LW,NYR,43,8,9,17
Julien Gauthier,LW,FLA,58,8,9,17
Josh Leivo,C,DAL,78,8,9,17
Jordan Oesterle,RW,ARI,61,9,8,17
Dylan Gambrell,RW,PHI,39,6,11,17
Jacob Bernard-Docker,LW,PHI,44,6,11,17
Nicolas Deslauriers,C,FLA,53,4,13,17
Jan Rutta,RW,CHI,64,6,11,17
Jansen Harkins,C/LW,BUF,67,5,12,17
Derek Stepan,C,CHI,68,7,10,17
Markus Niemelainen,LD,NYR,64,4,13,17
Tom Wilson,LD,WAS,80,7,9,16
Nolan Patrick,RD,VGK,65,4,12,16
Jordan Harris,LD,WPG,43,3,13,16
Noel Acciari,RD,FLA,77,3,13,16
Juuso Valimaki,LD,TBL,77,2,14,16
Brendan Lemieux,LD,ARI,57,2,14,16
Nathan Bastian,LD,CHI,69,3,13,16
Austin Watson,C,TBL,80,10,6,16
Sam Carrick,C,CGY,67,7,9,16
Jonas Siegenthaler,LD,STL,66,3,13,16
Travis Hamonic,C/LW,LAK,60,8,8,16
Wayne Simmonds,RW,NJD,40,7,9,16
Marc Staal,C/LW,STL,43,5,11,16
Cam York,LD,ANA,41,4,11,15
William Carrier,LD,STL,39,4,11,15
Jack Drury,RD,PHI,74,4,11,15
Zach Sanford,LD,VGK,66,3,12,15
Matt Nieto,LD,NSH,70,3,12,15
Jake McCabe,LD,MIN,60,2,13,15
Luke Glendening,RD,ARI,52,2,13,15
Gabriel Vilardi,LD,BOS,48,1,14,15
Nikita Soshnikov,C,NSH,52,6,9,15
Ty Dellandrea,C/LW,WAS,56,7,8,15
Paul Byron,C/RW,MIN,60,7,8,15
Tim Gettinger,LW/RW,WPG,62,6,9,15
Nick Holden,RW,STL,40,6,9,15
Marc-Edouard Vlasic,LW/RW,COL,46,6,9,15
Cal Foote,LW,COL,78,4,11,15
