3sheets Sports Entertainment Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
W,Fabian Zetterlund W | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",169,0%,0%,2,0,,103.8,86.5,127.5
F,Kent Johnson C | CLB ,"@NSH 10/09  8:00pm ET","Home: 0 
Away: 2 (@NSH,@MIN)",128,0%,0%,2,2,,144.5,89.8,143.8
Injured
C,2025 Draft Pick 3sSE C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
C,2026 Draft Pick LIP C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
C,Berkly Catton* C | SEA ,"ANA 10/09 10:00pm ET","Home: 2 (ANA,LV)
Away: 0 ",,0%,0%,0,2,1,0.0,0.0,0.0
C,Jett Luchanko C | PHI ,"@FLA 10/09  7:00pm ET","Home: 0 
Away: 2 (@FLA,@CAR)",,0%,0%,0,2,1,-0.8,-0.5,0.0
F,2027 Draft Pick LIP F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,Juraj Slafkovsky W | MON ,"@TOR 10/08  7:00pm ET","Home: 0 
Away: 3 (@TOR,@DET,@CHI)",158,0%,0%,0,0,1,121.0,86.0,132.7
D,"2025 Draft Pick LIP D,C |  ",,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
D,Carter Yakemchuk D | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",546,0%,0%,0,2,1,0.0,0.0,54.1
D,Zeev Buium* D | MIN ,"@STL 10/09  8:00pm ET","Home: 1 (CLB)
Away: 1 (@STL)",,0%,0%,0,2,1,0.0,0.0,0.0
LIP's Lasers Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
G,Jacob Markstrom G | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",136,0%,0%,4,2,,129.3,135.1,140.9
Reserves
G,Lukas Dostal G | ANA ,"@SEA 10/09 10:00pm ET","Home: 0 
Away: 2 (@SEA,@SJ)",161,0%,0%,2,0,,149.9,102.9,131.6
Injured
Active: 6 Reserve: 4 Injured: 9 Active salary: 26.00 Total salary: 34.00 Total Rookie: 5.00
New Oilers Nation Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Mavrik Bourque C | DAL ,"@WPG 10/09  8:00pm ET","Home: 0 
Away: 2 (@WPG,@COL)",451,0%,0%,3,0,,62.5,32.8,65.6
C,Clayton Keller C | UTA ,"@COL 10/09  9:00pm ET","Home: 0 
Away: 2 (@COL,@NSH)",27,100%,0%,7,2,,208.0,199.5,204.4
F,Matthew Knies W | TOR ,"MON 10/08  7:00pm ET","Home: 1 (MON)
Away: 1 (@DET)",209,0%,0%,2,2,,146.8,80.5,118.9
D,Lane Hutson D | MON ,"@TOR 10/08  7:00pm ET","Home: 0 
Away: 3 (@TOR,@DET,@CHI)",130,100%,0%,2,0,,209.5,107.8,142.5
D,Mason Lohrei D | BOS ,"@WAS 10/08  7:30pm ET","Home: 2 (CHI,BUF)
Away: 1 (@WAS)",441,0%,0%,2,0,,98.2,76.5,66.7
D,Shea Theodore D | LV ,"LA 10/08 10:00pm ET","Home: 1 (LA)
Away: 2 (@SJ,@SEA)",126,100%,100%,8,2,,189.5,159.2,144.7
Reserves
F,Yegor Chinakhov W | CLB ,"@NSH 10/09  8:00pm ET","Home: 0 
Away: 2 (@NSH,@MIN)",165,0%,0%,5,0,,35.5,46.0,129.9
F,Will Cuylle W | NYR ,"PIT 10/07  8:00pm ET","Home: 2 (PIT,WAS)
Away: 2 (@BUF,@PIT)",394,0%,0%,2,0,,117.0,57.5,76.6
F,Morgan Frost C | CGY ,"@EDM 10/08 10:00pm ET","Home: 1 (STL)
Away: 2 (@EDM,@VAN)",261,0%,0%,2,0,,85.8,96.2,102.0
F,Alex Laferriere W | LA ,"COL 10/07 10:30pm ET","Home: 1 (COL)
Away: 2 (@LV,@WPG)",335,0%,0%,4,0,,108.5,83.0,87.1
F,Jake Neighbours W | STL ,"MIN 10/09  8:00pm ET","Home: 1 (MIN)
Away: 1 (@CGY)",195,0%,0%,3,2,,118.0,79.2,121.1
F,Logan Stankoven C | CAR ,"NJ 10/09  7:00pm ET","Home: 2 (NJ,PHI)
Away: 0 ",255,0%,0%,3,2,,89.8,63.2,105.6
D,Seamus Casey D | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",665,0%,0%,2,0,,32.8,32.8,41.9
D,Noah Dobson D | MON ,"@TOR 10/08  7:00pm ET","Home: 0 
Away: 3 (@TOR,@DET,@CHI)",132,100%,100%,3,0,,134.0,181.0,142.0
D,Rasmus Sandin D | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",472,0%,0%,2,0,,101.2,100.2,63.3
D,Braden Schneider D | NYR ,"PIT 10/07  8:00pm ET","Home: 2 (PIT,WAS)
Away: 2 (@BUF,@PIT)",659,0%,0%,2,0,,79.2,70.5,42.2
D,Olen Zellweger D | ANA ,"@SEA 10/09 10:00pm ET","Home: 0 
Away: 2 (@SEA,@SJ)",415,0%,0%,2,2,,74.2,54.5,71.2
Injured
F,2027 Draft Pick NON F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,2027 Draft Pick SHAX F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,Macklin Celebrini C | SJ ,"LV 10/09 10:00pm ET","Home: 2 (LV,ANA)
Away: 0 ",46,100%,0%,0,2,1,144.2,144.5,181.3
New Oilers Nation Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
Reserves
G,Spencer Knight G | CHI ,"@FLA 10/07  5:00pm ET","Home: 1 (MON)
Away: 2 (@FLA,@BOS)",237,0%,0%,2,0,,100.4,53.9,110.4
G,z-CAPHIT Buchnevich G |  ,,"Home: 0 
Away: 0 ",,0%,0%,4,1,,0.0,0.0,0.0
G,z-CAPHIT GeorgieV G |  ,,"Home: 0 
Away: 0 ",,0%,0%,4,1,,0.0,0.0,0.0
G,z-CAPHIT Hill G |  ,,"Home: 0 
Away: 0 ",,0%,0%,3,1,,0.0,0.0,0.0
G,z-CAPHIT Ovechkin G |  ,,"Home: 0 
Away: 0 ",,0%,0%,6,1,,0.0,0.0,0.0
Injured
Active: 6 Reserve: 16 Injured: 3 Active salary: 24.00 Total salary: 73.00 Total Rookie: 1.00
re-degeneration X 2.0 Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Tomas Hertl C | LV ,"LA 10/08 10:00pm ET","Home: 1 (LA)
Away: 2 (@SJ,@SEA)",49,100%,100%,4,1,,153.2,126.8,180.7
C,Wyatt Johnston C | DAL ,"@WPG 10/09  8:00pm ET","Home: 0 
Away: 2 (@WPG,@COL)",75,100%,100%,4,1,,182.5,153.8,168.4
W,William Eklund W | SJ ,"LV 10/09 10:00pm ET","Home: 2 (LV,ANA)
Away: 0 ",133,0%,0%,2,2,,134.2,80.5,141.8
W,Timo Meier W | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",120,100%,100%,6,2,,134.8,143.0,147.2
W,William Nylander W | TOR ,"MON 10/08  7:00pm ET","Home: 1 (MON)
Away: 1 (@DET)",17,100%,100%,12,1,,217.5,226.8,226.0
D,Noah Hanifin D | LV ,"LA 10/08 10:00pm ET","Home: 1 (LA)
Away: 2 (@SJ,@SEA)",250,100%,100%,5,2,,139.0,145.5,106.4
D,Morgan Rielly D | TOR ,"MON 10/08  7:00pm ET","Home: 1 (MON)
Away: 1 (@DET)",226,100%,100%,8,2,,135.0,152.5,113.5
Reserves
C,Anton Lundell C | FLA ,"CHI 10/07  5:00pm ET","Home: 3 (CHI,PHI,OTT)
Away: 0 ",220,0%,0%,4,0,,118.2,97.0,114.5
W,Pavel Dorofeyev W | LV ,"LA 10/08 10:00pm ET","Home: 1 (LA)
Away: 2 (@SJ,@SEA)",180,0%,0%,2,0,,139.5,75.2,124.9
D,Philip Broberg D | STL ,"MIN 10/09  8:00pm ET","Home: 1 (MIN)
Away: 1 (@CGY)",423,0%,0%,2,0,,108.2,47.0,70.2
D,Miro Heiskanen D | DAL ,"@WPG 10/09  8:00pm ET","Home: 0 
Away: 2 (@WPG,@COL)",187,0%,0%,6,0,,86.8,168.2,123.2
D,Michael Kesselring D | BUF ,"NYR 10/09  7:00pm ET","Home: 1 (NYR)
Away: 1 (@BOS)",445,0%,0%,2,0,,102.0,63.2,66.0
D,Pavel Mintyukov D | ANA ,"@SEA 10/09 10:00pm ET","Home: 0 
Away: 2 (@SEA,@SJ)",416,0%,0%,2,2,,66.0,79.2,71.0
D,Axel Sandin Pellikka D | DET ,"MON 10/09  7:00pm ET","Home: 2 (MON,TOR)
Away: 0 ",,0%,0%,2,0,,0.0,0.0,0.0
Injured
F,2027 Draft Pick Re-DeGen F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
re-degeneration X 2.0 Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
G,Juuse Saros G | NSH ,"CLB 10/09  8:00pm ET","Home: 2 (CLB,UTA)
Away: 0 ",197,0%,0%,9,2,,128.4,191.5,120.7
Reserves
Injured
G,z-CAPHIT Skjei G |  ,,"Home: 0 
Away: 0 ",,0%,0%,3,1,,0.0,0.0,0.0
Active: 8 Reserve: 7 Injured: 2 Active salary: 50.00 Total salary: 73.00
Shazam!!! Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Sidney Crosby C | PIT ,"@NYR 10/07  8:00pm ET","Home: 2 (NYI,NYR)
Away: 1 (@NYR)",9,100%,100%,12,1,,211.0,223.8,236.4
C,Leon Draisaitl C | EDM ,"CGY 10/08 10:00pm ET","Home: 2 (CGY,VAN)
Away: 0 ",4,100%,0%,19,2,,272.0,279.5,263.6
W,Kirill Kaprizov W | MIN ,"@STL 10/09  8:00pm ET","Home: 1 (CLB)
Away: 1 (@STL)",5,100%,0%,14,2,,141.8,193.8,257.3
W,John-Jason Peterka W | UTA ,"@COL 10/09  9:00pm ET","Home: 0 
Away: 2 (@COL,@NSH)",107,0%,0%,2,2,,164.8,122.8,152.9
F,Kyle Connor W | WPG ,"DAL 10/09  8:00pm ET","Home: 2 (DAL,LA)
Away: 0 ",12,100%,100%,9,2,,245.2,196.0,233.8
F,Dylan Cozens C | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",223,0%,0%,5,1,,105.8,132.2,113.9
